#{"t_start": 1641419706.7975063, "env_id": null}
r,l,t
-20.12,94,28.228231
-20.06,45,44.50156
-0.07,18,52.597911
-0.16,14,59.629657
-0.08,7,64.45647
-0.02,18,72.248405
-20.175,71,93.648385
-0.705,302,175.357635
-0.08,17,182.718312
-0.06,19,190.514615
-0.28,87,215.864935
-19.855,63,236.641031
-20.28,73,259.020726
-19.965,12,265.707864
-0.275,75,288.230354
-0.235,94,315.738611
-20.165,52,332.502776
-0.705,302,414.317566
-0.355,92,441.904943
-0.045,8,447.00579
-0.07,23,455.880159
-20.005,8,461.487155
-20.035,60,480.984611
-0.18,62,500.10492
-20.0,1,503.552764
-0.065,6,508.172231
-0.345,83,532.666649
-0.13,17,540.007148
-0.155,32,551.124086
-0.14,11,557.08402
-0.02,58,574.700757
-20.115,22,583.860752
-20.055,13,591.20215
-19.99,2,595.006074
-0.1,30,605.68357
-0.02,3,609.733251
-0.06,9,615.076705
-20.055,28,626.285818
-20.165,57,644.714864
-20.06,30,656.352336
-0.2,35,668.240026
-0.355,97,695.79754
-0.63,302,777.998013
-0.06,9,783.438568
-19.98,33,794.853421
-0.16,14,801.715098
-19.98,13,808.624916
-19.96,10,814.518256
-0.065,11,820.47816
-0.055,12,826.657711
-0.025,20,834.93994
-0.18,82,858.735357
-0.095,18,866.437393
-0.035,4,870.522985
-19.99,2,874.270118
-19.98,33,887.141712
-19.96,10,893.336967
-0.11,14,900.174815
-0.05,30,910.846817
-20.0,11,917.334272
-0.12,18,924.899901
-19.995,34,937.289858
-0.655,227,998.67843
-20.125,91,1027.979437
-20.225,86,1055.448679
-19.965,32,1067.177319
-0.115,16,1074.533219
-0.065,61,1093.099952
-0.16,29,1103.601052
-0.08,17,1111.002126
-20.02,54,1128.936406
-19.985,5,1133.69976
-0.085,19,1141.937145
-0.005,2,1145.563071
-19.955,33,1157.971945
-20.015,87,1183.965071
-19.985,25,1194.307222
-20.37,209,1253.689035
-0.145,23,1262.678585
-0.05,10,1268.395053
-0.05,5,1272.736317
-19.96,20,1281.914903
-0.245,48,1297.350363
-0.285,84,1321.59136
-0.06,4,1325.666622
-20.055,38,1339.459532
-0.09,16,1346.615
-0.19,76,1369.401409
-0.015,1,1372.772308
-0.22,38,1385.485467
-0.115,11,1391.365804
-19.98,43,1405.608718
-0.095,33,1417.402658
-20.105,53,1436.291502
-0.63,302,1518.312663
-0.19,86,1542.730045
-19.955,18,1550.990043
-20.0,21,1559.736364
-0.04,11,1565.579273
-0.16,24,1574.955304
-20.14,97,1603.650784
-20.37,259,1677.750728
-20.31,90,1705.53792
-20.25,141,1745.952553
-20.035,65,1765.893389
-0.16,34,1778.790277
-19.98,13,1786.156838
-20.1,51,1805.328245
-0.855,302,1888.551206
-20.69,252,1959.489218
-0.02,8,1964.699009
-0.455,302,2047.897168
-0.485,154,2091.551437
-0.11,14,2098.262504
-0.075,10,2103.947987
-20.005,63,2123.695827
-0.06,19,2131.921611
-0.08,7,2136.737185
-0.05,15,2143.490452
-20.21,155,2186.615296
-20.02,9,2192.785241
-0.035,4,2196.968119
-20.015,17,2205.489986
-0.215,36,2218.023142
0.0,5,2222.404855
-20.085,40,2237.119397
-0.39,151,2278.932932
-19.95,11,2285.304339
-0.15,55,2302.237573
-20.095,194,2359.040011
-0.135,49,2374.596323
-0.15,45,2390.262776
